assign-to(p9723, r2554)
assign-to(p14897, r3863)
assign-to(p12236, r11630)
assign-to(p14898, r14503)
assign-to(p12242, r5607)
assign-to(p8400, r3810)
assign-to(p14883, r4524)
assign-to(p14892, r12953)
assign-to(p12211, r8067)
assign-to(p13546, r14018)
assign-to(p9706, r3413)
assign-to(p14881, r13889)
assign-to(p14861, r8584)
assign-to(p9714, r11775)
assign-to(p14853, r14170)
assign-to(p8436, r7968)
assign-to(p14854, r4151)
assign-to(p7100, r951)
assign-to(p9763, r1156)
assign-to(p13526, r3999)
assign-to(p9769, r749)
assign-to(p13519, r922)
assign-to(p14840, r997)
assign-to(p9772, r2647)
assign-to(p9771, r137)
assign-to(p7117, r4260)
assign-to(p7119, r5419)
assign-to(p9741, r14962)
assign-to(p9740, r10692)
assign-to(p9749, r10645)
assign-to(p14826, r12593)
assign-to(p9754, r2247)
assign-to(p14820, r11003)
assign-to(p14822, r11107)
assign-to(p8426, r2347)
assign-to(p8470, r5348)
assign-to(p8477, r13007)
assign-to(p14806, r7550)
assign-to(p8487, r2582)
assign-to(p7127, r4921)
assign-to(p7121, r13102)
assign-to(p8453, r13346)
assign-to(p7136, r12488)
assign-to(p8467, r14764)
assign-to(p7195, r9751)
assign-to(p8496, r7685)
assign-to(p7086, r5670)
assign-to(p12288, r9238)
assign-to(p12283, r5689)
assign-to(p13597, r860)
assign-to(p12268, r11131)
assign-to(p13598, r2930)
assign-to(p13586, r1982)
assign-to(p12243, r3563)
assign-to(p12249, r12137)
assign-to(p12250, r1552)
assign-to(p11030, r14576)
assign-to(p12361, r13466)
assign-to(p13693, r3102)
assign-to(p11012, r5997)
assign-to(p12343, r1670)
assign-to(p11014, r4333)
assign-to(p11015, r496)
assign-to(p9619, r5376)
assign-to(p9615, r9726)
assign-to(p12339, r14246)
assign-to(p13662, r4324)
assign-to(p12334, r1463)
assign-to(p12335, r7081)
assign-to(p12323, r10598)
assign-to(p13641, r10504)
assign-to(p14973, r8227)
assign-to(p12313, r7448)
assign-to(p8311, r10626)
assign-to(p14980, r10792)
assign-to(p14965, r2354)
assign-to(p13633, r10313)
assign-to(p9658, r8357)
assign-to(p13622, r3318)
assign-to(p14955, r4264)
assign-to(p14949, r13945)
assign-to(p9636, r620)
assign-to(p7028, r4855)
assign-to(p9689, r13525)
assign-to(p8355, r5334)
